"product","sales","share_sales","cumulative_sales","sales_category","transaction_frequency","share_frequency","cumulative_share","product_category","cumsalessharecumtransactionshare","productfreqqu"
"titos handmade vodka","86572383.09999108","5.402807499667672","5.402807499667672","A","213269","2.02832342927597634700","8.66831530339017966200","X","46.83323893064052","AX"
"black velvet","54789989.56999816","3.419332539495844","8.822140039163516","A","258764","2.46100972880807217000","2.46100972880807217000","X","21.71137246528864","AX"
"fireball cinnamon whiskey","45112350.21999697","2.8153706224619253","11.637510661625441","A","225632","2.14590339896748751700","4.60691312777555968700","X","53.61300064167028","AX"
"crown royal","41694626.4799961","2.602077389758125","14.239588051383567","A","121219","1.15286955803893006900","11.00258632184404348100","X","156.6722967228467","AX"
"crown royal regal apple","32956100.989997108","2.0567236711377985","16.296311722521367","A","118439","1.12642999517049999100","12.12901631701454347200","X","197.65823078961702","AX"
"jack daniels old #7 black label","32152886.590003088","2.006596683422599","18.302908405943967","A","85255","0.81082911235539794100","19.65534222780517580200","X","359.74992848300076","AX"
"hennessy vs","30776179.28000419","1.920679162003345","20.223587567947312","A","105051","0.99910162550052089700","16.33414319553121932300","X","330.33497526221635","AX"
"captain morgan original spiced","30700546.199999835","1.9159590543057377","22.13954662225305","A","111762","1.06292749111564113200","14.29368419711131607700","X","316.45568768570763","AX"
"jameson","26685805.510001384","1.6654072000950058","23.804953822348057","A","69063","0.65683292459798074000","23.29842867205108047500","X","554.618018671446","AX"
"hawkeye vodka","20885815.41999916","1.303441538134784","25.10839536048284","A","213769","2.03307874633864362800","6.63999187411420331500","X","166.71954116565283","AX"
"absolut swedish vodka 80prf","19158628.370005026","1.195651284327642","26.304046644810484","A","86629","0.82389672364360762700","18.02872896271508061400","X","474.2285275819032","AX"
"patron silver","18857015.25","1.1768282189526345","27.48087486376312","A","48482","0.46109456366447015400","30.14403094532089165000","X","828.3843422977666","AX"
"jim beam","18739143.369999785","1.1694720730957098","28.65034693685883","A","109494","1.04135737291938234900","15.33504157003069842600","X","439.35426127253186","AX"
"captain morgan spiced rum","16013214.579999361","0.9993523653690106","29.64969930222784","A","47071","0.44767505891362308900","31.03957127583064452000","X","920.3139547984472","AX"
"jagermeister liqueur","14885197.960001228","0.9289551274041438","30.578654429631985","A","77806","0.73998439875578080100","21.96594127792108190000","X","671.6889275591376","AX"
"smirnoff 80prf","14258558.89999892","0.8898478498667471","31.468502279498733","A","115843","1.10174038898113147300","13.23075670599567494500","X","416.35209756211805","AX"
"bacardi superior rum","12670582.02000054","0.790745421478646","32.259247700977376","A","85776","0.81578415273469724700","18.84451311544977786100","X","607.9098163956113","AX"
"makers mark","12492459.450000376","0.7796291518023748","33.03887685277975","A","35687","0.33940600003081445500","37.56292473303174478700","X","1241.0368444848705","AX"
"malibu coconut rum","11780912.60999781","0.7352229512812403","33.77409980406099","A","62094","0.59055331537852418900","24.49146163800129839200","X","827.1770697091869","AX"
"jose cuervo especial reposado","11735169.389999457","0.7323682093506572","34.50646801341165","A","60279","0.57329151444104196200","25.06475315244234035400","X","864.8961029188104","AX"
"captain morgan original spiced barrel","11540178","0.7201991907036494","35.2266672041153","A","13057","0.12418034977449335400","59.30532806647096318200","X","2089.1290552284513","AX"
"grey goose","10937341.469999261","0.6825773809678611","35.909244585083165","A","49142","0.46737158218719096400","29.22086222267704188200","X","1049.2990885411268","AX"
"baileys original irish cream","10681572.809999503","0.6666153757077012","36.575859960790865","A","37897","0.36042450144780383300","35.83303549197464160800","X","1310.6240881245133","AX"
"fireball cinnamon whiskey mini dispenser","10669167.0000001","0.6658411541730253","37.24170111496389","A","84473","0.80339179646938631500","20.45873402427456211700","X","761.9180577225756","AX"
"fireball cinnamon whiskey pet","10200828.720000125","0.6366131084503752","37.878314223414264","A","44145","0.41984694346289416600","31.90073066397731295500","X","1208.3459000466394","AX"
"five oclock vodka","10056047.700001668","0.6275776175392178","38.50589184095348","A","124219","1.18140146041493375000","9.84971676380511341200","X","379.2721283711061","AX"
"seagrams 7 crown","9884675.089999912","0.6168825992273654","39.12277444018085","A","91549","0.87068904354025366400","17.20483223907147298700","X","673.1007709703448","AX"
"tanqueray gin","9344651.46999979","0.583180816283901","39.70595525646475","A","40639","0.38650266021947119700","34.33131587421843986600","X","1363.1576919972754","AX"
"admiral nelson spiced rum","8810920.90999993","0.5498717704991908","40.255827026963935","A","80670","0.76722285489073898200","21.22595687916530109900","X","854.4684486094736","AX"
"jack daniels old #7 black lbl","8792957.0900003","0.5487506847910085","40.804577711754945","A","22793","0.21677588361875063400","45.83759488997432699900","X","1870.3837028078988","AX"
"barton vodka","8587190.90999989","0.5359092332717619","41.340486945026704","A","57305","0.54500688855229698000","26.71277485494856363800","X","1104.3191201564387","AX"
"remy martin vsop","8306624.829999521","0.5183996711354447","41.85888661616215","A","25276","0.24039078815195634700","44.48290967579579755900","X","1862.0050724761186","AX"
"svedka 80prf","7734492.920000249","0.4826940746916802","42.34158069085383","A","33050","0.31432645784230721900","38.84435904317694744300","X","1644.7315628111746","AX"
"dr mcgillicuddys cherry","7697347.409999162","0.48037589846935014","42.82195658932318","A","43642","0.41506309449785088200","32.31579375847516383700","X","1383.8255174749445","AX"
"rumple minze peppermint schnapps liqueur","7173764.760000475","0.4477001632427768","43.26965675256596","A","30178","0.28701191663434636200","40.63698042692475738200","X","1758.3481945337755","AX"
"smirnoff 80prf pet","7049790.700000312","0.4399631926622223","43.70961994522818","A","27053","0.25729118499267586100","42.50601024523550518000","X","1857.9215532072192","AX"
"southern comfort","7011446.150000077","0.4375701867763455","44.147190132004525","A","58099","0.55255833204781262100","25.61731148449015297500","X","1130.93232077657","AX"
"black velvet toasted caramel","6600039.90000025","0.4118951540081942","44.55908528601272","A","55231","0.52528183337635310200","27.23805668832491674000","X","1213.7028910003191","AX"
"jose cuervo especial silver","6586808.089999946","0.41106938348249145","44.97015466949521","A","43259","0.41142052162784774500","32.72721428010301158200","X","1471.7478880779447","AX"
"cedar ridge bourbon","6517919.809999445","0.40677020512446904","45.376924874619675","A","15418","0.14663495694440825100","54.19327662839650899400","X","2459.1242422762307","AX"
"rumchata","6330497.040000183","0.39507352875839347","45.77199840337807","A","39840","0.37890366355332888400","35.47261099052683777500","X","1623.6522936220458","AX"
"crown royal peach","6161808.950000262","0.3845460459154696","46.15654444929354","A","20035","0.19054555470107791600","48.86104449968643439900","X","2255.2569722886865","AX"
"captain morgan spiced barrel","5879223","0.3669104277738421","46.52345487706739","A","9044","0.08601417502952576400","65.07783598074515057700","X","3027.6457657473893","AX"
"jack daniels tennessee honey","5707769.9900001325","0.3562103918605651","46.87966526892795","A","31692","0.30141101670010288600","39.76575878787348498200","X","1864.2054611404392","AX"
"new amsterdam 80prf","5657859.589999981","0.3530955846463432","47.23276085357429","A","57878","0.55045648190611368300","26.16776796639626665800","X","1235.975926428617","AX"
"skrewball peanut butter whiskey","5516687.25","0.3442853041621317","47.577046157736426","A","17719","0.16851892606680307500","51.17831050432420002400","X","2434.9128411391994","AX"
"kahlua coffee","5342852.309999311","0.333436616810471","47.9104827745469","A","27548","0.26199894888471646800","42.24871906024282931900","X","2024.1565267824353","AX"
"phillips vodka","5316625.319999689","0.33179984335928847","48.24228261790619","A","51539","0.49016857218561790500","28.75349064048985091800","X","1387.1340217298318","AX"
"ketel one","5215737.259999821","0.32550362339079525","48.567786241296986","A","21586","0.20529654822947181900","46.88619936609721428300","X","2277.1589084794437","AX"
"mccormick 80prf vodka pet","5088227.060000835","0.31754596945809765","48.88533221075508","A","63348","0.60247965057169372800","23.90090832262277420300","X","1168.4038434902154","AX"
"blue ox vodka","4861994.669999926","0.3034272631270855","49.188759473882165","A","42819","0.40723584261270053900","33.54297941156945816000","X","1649.9375463130714","AX"
"five star","4807123.810000528","0.30000288362749894","49.488762357509664","A","71042","0.67565446953201783500","22.64159574745309973500","X","1120.5045513405078","AX"
"crown royal vanilla","4804680.92999995","0.29985042842278703","49.78861278593245","A","25575","0.24323446775543138000","44.00155746144436479100","X","2190.77650642581","AX"
"crown royal canadian whisky","4772121.900000024","0.29781848514981124","50.08643127108226","A","13931","0.13249264400003576000","57.13127319049248536800","X","2861.5015880850265","AX"
"bulleit bourbon","4762166.5399999535","0.2971971912481735","50.383628462330435","A","19086","0.18151996291613541800","49.78699983812900719300","X","2508.449702098397","AX"
"canadian club whisky","4741551.94999999","0.29591067634046053","50.6795391386709","A","35818","0.34065189310123328200","37.22351873300093033200","X","1886.4707745081698","AX"
"platinum 7x vodka","4715078.399999741","0.2942585155778422","50.97379765424874","A","15273","0.14525591499623474000","54.48418790502224252500","X","2777.2659696266705","AX"
"jose cuervo authentic lime margarita","4702767.869999548","0.29349024027539256","51.26728789452413","A","42955","0.40852928885374603900","33.13574356895675762100","X","1698.7797051488324","AX"
"canadian ltd whisky","4636550.620000137","0.2893577555026103","51.55664565002674","A","46402","0.44131244468377426900","31.48088372051441878900","X","1623.0487667282573","AX"
"fris danish vodka","4549512.439999442","0.28392587855956664","51.8405715285863","A","15315","0.14565536162949879100","54.33893199002600778500","X","2816.9612906159296","AX"
"malibu coconut","4503870.349999415","0.28107744794783407","52.12164897653414","A","19766","0.18798719412136292000","49.23707595173391224600","X","2566.317589387226","AX"
"woodford reserve","4490674.319999822","0.2802539103796781","52.40190288691382","A","10094","0.09600034086112705200","63.89868854061792111800","X","3348.412871506613","AX"
"uv blue raspberry","4468303.889999808","0.27885781704544155","52.68076070395926","A","47091","0.44786527159612978100","30.59189621691702143100","X","1611.6043640837622","AX"
"kessler blend whiskey","4468140.860000134","0.2788476426725831","52.95960834663184","A","39854","0.37903681243108356700","35.09370732697350889100","X","1858.5489954678412","AX"
"evan williams black","4379487.9200000055","0.27331499182078584","53.23292333845262","A","30494","0.29001727701795208300","40.34996851029041102000","X","2147.946780417267","AX"
"bacardi limon","4363993.740000054","0.2723480313547877","53.50527136980741","A","33376","0.31742692456716628600","38.21344259657050338000","X","2044.6206161040627","AX"
"jack daniels tennessee fire","4317030.390000047","0.2694171435762164","53.77468851338362","A","16328","0.15528963399846270100","53.14186651520664801500","X","2857.6873188750487","AX"
"kirkland signature american vodka","4257469.080000001","0.265700042569691","54.040388555953314","A","201","0.001911637459192246626700","98.439209833691345295896100","Z","5319.693148553701","AZ"
"paramount white rum","4238504.430000704","0.26451649708352326","54.30490505303684","A","54363","0.51702660295556270300","27.75508329128047944300","X","1507.2371628721155","AX"
"seagrams extra dry gin","4212316.3599992525","0.2628821525507842","54.56778720558763","A","53439","0.50823877702375357000","28.26332206830423301300","X","1542.2669443462141","AX"
"dekuyper luscious peachtree","4175729.639999818","0.2605988492833568","54.82838605487098","A","30933","0.29419244539897395500","40.05995123327245893700","X","2196.4224715571672","AX"
"bombay sapphire gin","4102911.81","0.2560544356499913","55.084440490520976","A","21178","0.20141620950633531900","47.29099097573970384000","X","2604.9977781408984","AX"
